"","M","p","eta","sig_nois","G","G1","MSE","MAD","ECP_PI","ECP_CI","Iter","Sigma2_est","Test_MSPE","Test_MSE","Beta_mse","Conv","time","alpha","lasso_Sum_delta","lasso_Sum_delta_sig","lasso_MSE","lasso_MAD","lasso_Obs_test_MSPE","lasso_test_MSE","lasso_Beta_mse","lasso_time","sparsevb_Signals","sparsevb_Corr_Signals","sparsevb_MSE","sparsevb_MAD","sparsevb_Test_MSPE","sparsevb_Test_MSE","sparsevb_Beta_mse","sparsevb_time"
"167",10000,0.0125,0.8,2,40,1,0.319052602293776,20.2313392474131,0.9,0.9775,10,2587.3010401424,5296.73005559468,0.182068637451719,0.0256187643767089,1,1.60700000000361,0.542213784589783,52,25,0.0897152108798889,14.2121010218999,4543.00353560395,0.0744060469656624,0.028951045749915,2.75599999999395,14,0,0.207036747091345,20.261771745403,5059.64010591606,0.181657832538598,0.0786264047492246,28.2060000000056
"168",10000,0.0125,0.8,2,40,10,0.424403174772367,11.2780075107686,0.885,0.8875,10,472.467703499414,936.74016179614,0.359116748774684,0.0120303330124672,1,1.625,0.39266185287857,131,16,0.298937977706885,12.2523263668617,909.769568987771,0.419050070049914,0.0193787522175255,3.05500000000757,9,0,0.596161701678917,17.9450683537325,1513.88372163772,1.06903097679064,0.0535742682276594,1076.66
"169",10000,0.0125,0.8,2,40,1,0.235532043278889,17.3919255124124,0.935,0.9925,10,2929.22595164611,5344.58369412085,0.125623301928937,0.0222630678582642,1,1.9829999999929,0.555295397979876,56,30,0.0569100978711835,10.9177692088644,4989.65492117071,0.0623785275967824,0.0281805085263101,3.13399999999092,11,0,0.14770110856796,21.0218833860918,5535.74744294805,0.208944370843017,0.0839967025888767,27.6900000000023
"170",10000,0.0125,0.8,2,40,10,0.452871535104708,10.6546883055177,0.8925,0.9,10,499.656487020457,1049.22432540363,0.354475020823781,0.0128478053926586,1,1.47800000000279,0.399884218015694,170,20,0.342583295625576,12.4854205743142,1028.86844048339,0.412644724842335,0.0206749749093222,2.65499999999884,7,0,0.510775634504823,16.8173353680336,1323.56460052425,0.82960590176901,0.0455579475108334,1010.955
"171",10000,0.0125,0.8,2,40,1,0.24820864156571,20.2713019067644,0.92,0.9925,10,3785.69752266629,6748.57888191403,0.144437759761649,0.0270063054399532,1,1.71699999998964,0.639356324289235,47,34,0.0877769559724648,16.2675934297367,6514.44948544086,0.0865325347324759,0.0324052203810091,3.14199999999255,13,0,0.180455123180602,26.2581969064447,7390.13622106451,0.224487324159184,0.103663666269979,19.9630000000034
"172",10000,0.0125,0.8,2,40,10,0.411379153342474,8.6101509268697,0.92,0.885,10,390.933536083102,704.736350042267,0.327042680719691,0.0103741291083376,1,1.59599999999045,0.362371780112388,168,19,0.309359033895038,9.4612616808802,790.900742875593,0.381134395477253,0.0158069409996838,2.79200000000128,7,0,0.5288900557023,15.8693322942296,1004.74493569585,0.872079854258609,0.0443410051557579,992.710000000006
"173",10000,0.0125,0.8,2,40,1,0.293397104418487,20.5775786598699,0.84,0.9525,10,2551.68649272745,7027.2216725398,0.201770074543094,0.0261166613274765,1,0.95700000000943,0.542770606347957,105,23,0.137938228505476,18.3251729780356,6825.67043453469,0.163898060825432,0.0456367929619615,6.0619999999908,14,0,0.204833702720431,24.6040257025713,7457.26029946579,0.266162421785169,0.092510613253814,19.528999999995
"174",10000,0.0125,0.8,2,40,10,0.4333070752384,11.3608179254538,0.8675,0.865,10,438.381906444551,1006.697289814,0.414872200480197,0.0124470079379654,1,1.49000000000524,0.355836760295746,153,15,0.362227630637984,11.7862884551897,1042.39869912795,0.5307032055526,0.019501663158265,2.67999999999302,8,0,0.612183120472081,17.8604166617784,1382.4751842638,1.09896990268736,0.0526646369987033,71.773000000001
"175",10000,0.0125,0.8,2,40,1,0.222262433772686,15.4923369907634,0.89,0.9875,10,2397.59960148095,4956.9407819895,0.118822943331171,0.0208108926463151,1,1.56100000000151,0.444803138682402,49,25,0.0677347160390075,13.154985436436,4940.04610297369,0.0759299166810921,0.034031055436713,2.99300000000221,14,0,0.155297168025249,20.2815010902844,5679.46219871189,0.207556288183926,0.0905308583830786,965.896999999997
"176",10000,0.0125,0.8,2,40,10,0.457108334984882,11.5124136815745,0.835,0.78,10,482.818470834149,1192.40800782313,0.430712458490125,0.0126361255303054,1,1.67500000000291,0.330557188437456,177,14,0.318402446317049,10.7688391934742,1110.41430124952,0.370916979566044,0.0209713837751591,2.83899999999267,8,0,0.528522154188305,16.9604200067789,1512.08734484175,0.931978011898469,0.0610659746661499,66.7050000000017
"177",10000,0.0125,0.8,2,40,1,0.361671141198951,23.655585886961,0.9225,0.9825,10,2950.80870977597,5612.75991930507,0.198005441948192,0.0264833206554731,1,1.53900000000431,0.593518634202844,104,30,0.129462367923498,13.6073266180236,5096.55097117211,0.0919287278283548,0.0349594310239519,2.85000000000582,13,0,0.196623986865109,20.4316866599317,5284.97979638543,0.183804602976229,0.0826696706977767,1021.579
"178",10000,0.0125,0.8,2,40,10,0.526377744951166,11.9308186336553,0.885,0.765,10,400.998030802366,769.79129640138,0.571381238874852,0.0107671878212047,1,1.5460000000021,0.333338211517488,182,22,0.365093489413842,9.73878066577068,722.026153091035,0.490658431229964,0.0170067582217308,3.13199999999779,6,0,0.549196267202262,15.2512741589986,982.451055282511,1.01813740912386,0.0367914384941943,68.2569999999978
"179",10000,0.0125,0.8,2,40,1,0.261717081102737,17.8026781364543,0.9325,0.9875,10,3012.05132787055,5203.21394136585,0.161226378470207,0.02304880512698,1,1.59500000000116,0.623379837758395,64,23,0.100883385074792,15.5566546069705,4929.38680995909,0.11408193990202,0.0341517006764436,2.89800000000105,14,0,0.211159443067957,25.1507033181849,5740.56044913836,0.290214523041568,0.0860413402752489,20.8190000000031
"180",10000,0.0125,0.8,2,40,10,0.430271870935058,9.91468395804902,0.875,0.8175,10,452.960340106885,881.070381774695,0.369535688127868,0.00972106136337757,1,1.71199999999953,0.264106116119086,165,22,0.252831127558318,9.91581863929898,850.467487602009,0.374928841803282,0.0147086234926405,2.75899999999092,7,0,0.409918939935052,15.4918018424263,1024.32242410849,0.808889118746981,0.0420131220732829,854.678
